Finding #,Finding Title,Primary Classification,Disposition Recommendation,Proposed Cluster,Related Findings,Confidence,Short Rationale
22,World-Space Must Remain Connected,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Connectedness and Topology,"#21, #96, #97",MEDIUM,Substantive spatial constraint not derivable from membership. Its source may be constitutional (#91-#94) rather than SG itself.
23,Higher Architecture Cannot Alter World Extent,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,"#4, #8, #56, #89",HIGH,"Higher layers operate on World-space but cannot expand, contract, relocate or redefine it. Core upward constraint."
24,"Spatial Ground Owns Membership, Not Geometry Mathematics",FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #25, #47",HIGH,"Restates #12 for geometry; contributes a clean authority split (FSF owns mathematics, SG owns participation)."
25,Exact Geometry May Be Used Without Becoming Interpretation,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Layer Boundaries,"#24, #38, #51",MEDIUM,Supplies a boundary test: geometry belongs in SG only insofar as it expresses membership.
26,Canonical World-Space Must Be Independently Reproducible,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Independent Implementation,"#15, #27, #67",MEDIUM,Identical results across conforming implementations. Largely follows from #15 + #27 but is the testable form that anchors the cluster.
27,Hidden State Is Prohibited,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,No Hidden State / Self-Containment,"#10, #26, #68",HIGH,No hidden state. Independent obligation; parent of inspectability and self-containment findings.
28,Canonical Ground Must Be Finitely Expressible,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Finite Expressibility and Determinism,"#15, #18, #70",MEDIUM,"Finite, terminating definition. ""Finitely parseable"" leans toward Specification."
29,Representation May Change; Place Must Not,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Representation Independence,"#31, #71, #77",HIGH,"""Version the representation and standard; do not version the place."" Parent of representation independence."
30,Spatial Ground Terminates Before Interpretation,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,"#20, #90, #5",HIGH,Termination criterion: SG is complete once membership is resolved and preserved; all further meaning is above.
31,Spatial Ground Must Have One Authoritative World-Space Definition,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#8, #29, #77",MEDIUM,Single authoritative meaning across encodings; covered by #8 (single truth) and #29 (representation independence).
32,World-Space Must Be Independent of Observation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#4, #33, #41",HIGH,Observation independence is an instance of #4.
33,World-Space Must Be Independent of Occupancy,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#4, #32, #34",HIGH,Occupancy independence is an instance of #4.
34,World-Space Must Be Independent of Parcels,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#6, #4, #53",HIGH,Follows from #6 and #4; adds that removing the cadastre leaves ground intact.
35,Parcel Coverage Is Not a Spatial Ground Requirement,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#6, #34, #36",MEDIUM,Reserves the exhaustive-coverage question to Parcel Cadastre; a distinct nuance worth carrying into the merged exclusion.
36,Spatial Ground Must Not Encode Parcel Identity,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,"#6, #34, #20",HIGH,Itemized Parcel exclusion under #6.
37,Spatial Ground Must Not Encode Regions,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #5, #53",HIGH,Region exclusion; instance of #20.
38,Spatial Ground Must Not Encode Terrain,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #5, #25",HIGH,Terrain exclusion; instance of #20.
39,Spatial Ground Must Not Encode Civilization,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#20, #4, #76",HIGH,Civilization exclusion; instance of #20 and #4.
40,Spatial Ground Must Not Encode Rights,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,"#20, #4, #76",HIGH,Rights exclusion; instance of #20 and #4.
41,Spatial Ground Must Not Encode Runtime Availability,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,"#4, #27, #32",HIGH,Runtime availability independence; instance of #4 (runtime state) and #27.
42,Spatial Ground Must Survive Experience Replacement,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#81, #43, #4",HIGH,Experience-technology replacement; instance of #81.
43,Spatial Ground Must Survive Infrastructure Replacement,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#81, #42, #84",HIGH,"Infrastructure replacement; instance of #81, with a preservation flavor shared with #84."
44,Spatial Ground Must Be Recoverable Without Historical Runtime State,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Reconstruction and Recoverability,"#10, #45, #84",HIGH,Reconstruction from governing records without event replay.
45,"World Membership Is Spatial, Not Historical",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#4, #44, #32",MEDIUM,"Membership is not path-dependent; follows from #4, though the spatial-vs-historical framing is a useful explanatory distinction."
46,Spatial Ground Must Preserve Coordinate Correspondence,FSF DEPENDENCY / DOWNWARD CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Canonical Placement,"#12, #47, #88",MEDIUM,Exact correspondence of World-space to FSF reference. May follow from #1 (World-space is Survey space); retained pending review.
47,Spatial Ground Must Not Introduce Alternate Coordinates,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #46, #24",HIGH,"No second coordinate system; instance of #12's no-duplication rule. Keeps the ""derived addressing"" allowance."
48,Derived World-Space Views Must Be Reversible to Canonical Reference,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Representation Independence,"#46, #49, #19",MEDIUM,Rule governing derived representations that claim losslessness; representation behavior rather than an SG obligation.
49,Lossy Representation Must Never Become Canonical Ground Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #15, #62",HIGH,Lossy forms never canonical; follows from #19 plus exactness (#15).
50,Boundary Rendering Is Not Boundary Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#49, #19, #51",HIGH,Rendered edges are lossy derived artifacts; instance of #49.
51,Spatial Ground Must Distinguish Canonical Boundary From Interpreted Edge,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Layer Boundaries,"#25, #50, #99",MEDIUM,Separates the SG limit from interpreted edges owned by higher layers; partly terminological.
52,World-Space Membership Must Be Queryable Without Higher Interpretation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#4, #27, #53",MEDIUM,If membership is independent of higher data it is resolvable without it. Useful later as a conformance test.
53,Higher Interpretation Must Be Removable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#4, #23, #34",HIGH,Removability of GSI follows from #4 and #23.
54,Spatial Ground Must Be Sufficiently Complete for Higher Interpretation,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,"#89, #15, #30",HIGH,Completeness of the answer handed upward so GSI never invents membership.
55,Spatial Ground Defines Eligibility for Higher Spatial Meaning,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,REQUIRES ARCHITECTURAL REVIEW,Upward Handoff,"#56, #23, #54",LOW,"Prescribes what higher layers may interpret, with an exception clause. Possible breach of ""do not design the layer above from the layer below""."
56,Non-World-Space Must Not Acquire World Status Through Interpretation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Upward Handoff,"#23, #55, #4",HIGH,Interpretation cannot confer World status; instance of #23.
57,Derived Relationships May Be Computed From Ground Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #59, #17",MEDIUM,"""Should ... whenever practical""; application of the minimality principle in #58."
58,Spatial Ground Should Minimize Stored Truth,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,"#57, #59, #90",MEDIUM,Minimal stored truth. May be a consolidation criterion for the Requirements set rather than a Requirement of SG.
59,Redundant Canonical Truth Should Be Avoided,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#58, #8, #17",MEDIUM,Non-redundant canonical truth follows from #58 and #8.
60,Canonical Ground Must Detect Contradiction,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#8, #61, #66",HIGH,Contradiction detection between purported canonical representations.
61,Canonical Ground Must Reject Ambiguity,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#15, #66, #60",MEDIUM,Acceptance condition derived from #15; operates at validation time.
62,Canonical Ground Must Reject Silent Approximation,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#15, #49, #63",MEDIUM,Behavioral rule for conforming implementations; derived from #15.
63,Derived Approximation Must Be Explicit,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Operational Non-Authority,"#19, #49, #62",MEDIUM,"Labeling obligation on derived approximations; not derivable from #19, but operational in nature."
64,Spatial Ground Must Be Deterministically Validatable,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#26, #65, #66",MEDIUM,"Validatability. May need a Requirements-level hook, since Conformance may not originate obligations."
65,Spatial Ground Must Admit Canonical Equivalence Testing,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Canonical Equivalence,"#29, #31, #77",MEDIUM,Equivalence across encodings must be decidable; same Requirements-hook issue as #64.
66,Spatial Ground Must Have Defined Failure Conditions,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,"#60, #61, #28",HIGH,Enumerated invalidity conditions; parent of failure semantics.
67,Spatial Ground Must Support Independent Implementation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#26, #19, #87",MEDIUM,"Restates #26; the ""original implementation is not authoritative"" clause is covered by #19."
68,Spatial Ground Must Be Open to Inspection,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,"#27, #10, #69",MEDIUM,Privileged institutional knowledge is a form of hidden state (#27); openness nuance has an institutional flavor.
69,Spatial Ground Must Preserve Long-Term Human Comprehensibility,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#10, #68, #70",MEDIUM,"Preservation of governing semantics and intent for future custodians; ""should"" language. Could alternatively sit in Documentation."
70,Spatial Ground Must Preserve Machine Determinism,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Finite Expressibility and Determinism,"#28, #26, #69",HIGH,"Machine determinism follows from #15, #26 and #28; balances #69."
71,Spatial Ground Evolution Must Preserve Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#29, #4, #73",MEDIUM,Near-restatement of #29 applied to standard evolution; slight change-control flavor.
72,World-Space Must Never Be Reassigned,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #73, #46",MEDIUM,"Non-reassignment follows from #4 and #46. ""Canonical place"" identity may belong to FSF; term needs definition."
73,Spatial Ground Must Preserve Referential Permanence,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,"#4, #46, #29",MEDIUM,"Referential permanence follows from #4, #46 and #29, given FSF stability."
74,Spatial Ground Must Not Depend on Naming,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#4, #20, #75",HIGH,Naming independence; instance of #4 and #20.
75,Spatial Ground Must Not Depend on Classification,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#4, #20, #74",HIGH,Classification independence; instance of #4.
76,Spatial Ground Must Not Depend on Administrative Organization,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,"#4, #40, #39",HIGH,Administrative reorganization independence; instance of #4.
77,Spatial Ground Must Preserve One Meaning Across Representations,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,"#31, #29, #65",HIGH,Restates #31 and #29 with a longer list of representation types.
78,Spatial Ground Must Permit Derived Indexing,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #79, #18",HIGH,"Restates #19 (indexes, caches, tiles as derived, non-authoritative)."
79,Internal Partitions Carry No Foundational Meaning,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #20, #78",HIGH,Internal partitions are derived artifacts (#19) and carry no semantics (#20).
80,Computational Convenience Must Not Shape The World,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,"#81, #29, #18",MEDIUM,Sibling of #81. The nuance (technology must not distort the content of the definition) should survive any merge.
81,Spatial Ground Must Be Technology-Agnostic,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Technology and Infrastructure Independence,"#42, #43, #80, #82",HIGH,No technology as constitutional dependency. Parent of the technology-independence family.
82,Verification Technology Is Not Spatial Authority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#19, #81, #67",MEDIUM,Verification artifacts attest preservation; they do not determine membership. Borderline Institutional.
83,Spatial Ground Must Be Archivable,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,"#10, #84, #28",HIGH,Archivable independent of any running service.
84,Spatial Ground Must Be Restorable,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Reconstruction and Recoverability,"#83, #44, #10",HIGH,Restoration after infrastructure loss; close to #44 but a different loss scenario.
85,Spatial Ground Must Be Testable Adversarially,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,"#66, #64, #26",HIGH,Adversarial test program; also implies an institutional gate before establishment.
86,Spatial Ground Must Have a Mandatory Conformance Core,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,"#64, #87, #26",HIGH,Mandatory conformance core / profile structure.
87,Higher Capability Must Not Create Higher Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,"#8, #19, #86",HIGH,No superior truth for richer implementations; follows from #8 and #19.
88,Spatial Ground Must Preserve Exact Handoff Downward,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #46, #24",MEDIUM,Summary restatement of #12; paired rhetorically with #89.
89,Spatial Ground Must Preserve Exact Handoff Upward,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,"#23, #54, #8",HIGH,Higher layers receive membership as settled truth rather than recreate or renegotiate it. Parent of upward handoff.
90,Spatial Ground Has One Institutional Responsibility,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#1, #2, #30",MEDIUM,"First sentence restates #1-#2, second restates #30. Closest single match to the governing definition; useful wording source."
91,Spatial Ground Must Remain Subordinate to Constitutional Truth,INSTITUTIONAL / GOVERNANCE CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Constitutional Subordination,"#92, #93, #94",MEDIUM,Subordination to constitutional truth (The Codex). Authority relationship outside the four-layer sequence; taxonomy has no exact category.
92,"One World Is Presupposed, Not Produced",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Constitutional Subordination,"#21, #91, #94",MEDIUM,Instance of #91 applied to singularity; qualifies how #21 should be read.
93,World Extent Is Not Invented by Spatial Ground,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Constitutional Subordination,"#1, #2, #91",MEDIUM,"Instance of #91 applied to extent. Note tension with ""establishes"" in #1: SG expresses extent rather than originates it."
94,Spatial Ground Must Distinguish Constitutional Property From Architectural Expression,INSTITUTIONAL / GOVERNANCE CANDIDATE,MERGE INTO STRONGER FINDING OR CLUSTER,Constitutional Subordination,"#91, #95, #93",MEDIUM,"Property vs. architectural expression; general form of #92-#93, largely restating #91."
95,Spatial Ground Must Not Collapse Into the World Properties Domain,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Constitutional Subordination,"#91, #94, #20",MEDIUM,SG is not a World Properties catalog; exclusion toward the Codex rather than toward a spatial layer.
96,Connectedness Does Not Imply Unspecified Topology,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Connectedness and Topology,"#22, #97, #20",MEDIUM,"Semantic restraint (#20, #58) applied to #22: connectedness implies nothing further."
97,Spatial Ground Must Not Assume Simple Connectedness,UNRESOLVED ARCHITECTURAL QUESTION,REQUIRES ARCHITECTURAL REVIEW,Connectedness and Topology,"#22, #96, #98",MEDIUM,"Leaves open whether World-space may contain holes or enclosed non-World-space. A real open question, not a settled obligation."
98,Absence of World-Space Is Not Automatically Exteriority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #14, #99",HIGH,Semantic neutrality (#20) applied to non-World-space.
99,Spatial Ground Must Not Reintroduce a Frontier,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #98, #100",MEDIUM,"Instance of #20. ""Reintroduce"" implies a previously removed Frontier concept, so part of the content is historical."
100,The World-Space Limit Has No Inherent Thickness,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,"#15, #16, #99",HIGH,Two-valued exact membership (#15) leaves no room for a band or buffer.
101,Boundary Precision Must Not Imply Physical Surface Detail,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Precision and Refinement,"#11, #38, #51",HIGH,Refinement sharpens membership only; semantic neutrality (#20) applied to the precision model of #11.
102,Spatial Ground Must Remain Planar,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,"#12, #103, #111",MEDIUM,"AUTHORITY: FSF. Planarity is a Survey property; SG's own duty is only non-introduction of dimensions, an instance of #12."
103,Vertical Meaning Belongs Above Spatial Ground,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,"#102, #38, #20",HIGH,Vertical interpretation excluded; instance of #20 given the inherited planar ground of #102.
104,World-Space Area Must Be Derivable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#57, #59, #105",HIGH,Area derivable rather than stored; instance of #57 and #59.
105,World-Space Boundary Length Must Be Derived Where Defined,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#104, #57, #17",HIGH,Boundary length derivable; same pattern as #104.
106,Derived Measurements Must Not Define Membership,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,"#17, #104, #8",MEDIUM,"Derived measures describe but do not decide membership; follows from #17. The ""unless explicitly defined"" exception clause should be examined at review."
107,Spatial Ground Must Not Privilege a Center,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#20, #108, #109",HIGH,No privileged center; instance of #20.
108,Computational Origin Is Not World Center,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#107, #168, #20",HIGH,Survey origin carries no World meaning; instance of #20. The origin itself is FSF authority.
109,Survey Orientation Is Not World Meaning,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,"#107, #167, #20",HIGH,Survey directions carry no World meaning; instance of #20. Directions themselves are FSF authority.
110,Spatial Ground Must Not Encode Presentation Orientation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,"#4, #50, #113",HIGH,Presentation orientation independence; instance of #4 (presentation).
111,Globe Presentation Must Remain Derived,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,"#102, #112, #49",HIGH,"Globe presentation is a derived artifact (#19, #49) over the planar ground inherited from FSF."
