finding_id,target_id,relation,half,note
#42,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#42,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#43,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#43,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#44,DEF-02,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#44,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#45,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#46,DOWN-02,SOURCE-OF,,Item-level override.
#47,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#47,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#47,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#47,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#48,CORE-07,SOURCE-OF,,Pass #4 cluster target: Representation Independence.
#49,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#49,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#50,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#50,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#51,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#51,Shared Architecture,MERGED-INTO,,Pass #4 cluster target: Layer Boundaries.
#52,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#53,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#53,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#54,CORE-03a,SOURCE-OF,,Item-level override.
#55,UP-02,SOURCE-OF,,Item-level override.
#56,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#56,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#56,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#57,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#58,BOUND-01,SOURCE-OF,,Item-level override.
#59,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#60,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#60,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#61,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#61,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#62,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#62,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#63,CORE-05c,SOURCE-OF,,Pass #4 cluster target: Operational Non-Authority.
#63,CORE-05b,SOURCE-OF,,Pass #4 cluster target: Operational Non-Authority.
#64,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#64,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#65,DEF-05,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#65,CORE-07,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#66,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#66,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#67,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#67,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#68,CORE-05b,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#68,DEF-02,MERGED-INTO,,Pass #4 cluster target: No Hidden State / Self-Containment.
#69,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#70,DEF-03,MERGED-INTO,,Pass #4 cluster target: Finite Expressibility and Determinism.
#71,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#71,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#72,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#72,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#73,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#73,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#74,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#74,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#75,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#75,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#76,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Rights / Governance Independence.
#77,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#78,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#78,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#79,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#79,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#80,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#80,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#81,CORE-05b,SOURCE-OF,,Item-level override.
#81,CORE-07,SOURCE-OF,,Item-level override.
#82,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#82,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#83,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#84,DEF-02,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#84,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Reconstruction and Recoverability.
#85,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Testing and Adversarial Review.
#86,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#86,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#87,CORE-03c,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#87,CORE-05,MERGED-INTO,,Pass #4 cluster target: Independent Implementation.
#88,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#88,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#88,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#88,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#89,UP-01,SOURCE-OF,,Item-level override.
#90,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#91,CONST-01,SOURCE-OF,,Item-level override.
#92,CONST-01,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#92,CONST-05,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#93,CONST-01,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#93,CONST-05,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#94,CONST-01,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#94,CONST-05,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#95,CONST-01,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#95,CONST-05,MERGED-INTO,,Pass #4 cluster target: Constitutional Subordination.
#96,CONST-04,MERGED-INTO,,Pass #4 cluster target: Connectedness and Topology.
#97,CONST-04,SOURCE-OF,,Item-level override.
#98,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#99,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#100,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#100,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#101,DEF-06,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#101,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Precision and Refinement.
#102,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#102,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#102,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#102,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#103,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#103,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#104,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#105,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#106,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#106,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#107,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#108,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#109,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#110,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#111,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#111,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#112,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#112,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#113,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Higher-Layer Independence.
#114,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#114,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#115,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#115,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#116,DEF-05,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#116,CORE-07,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#117,DEF-05,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#117,CORE-07,SOURCE-OF,,Pass #4 cluster target: Canonical Equivalence.
#118,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#118,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#119,CORE-03b,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#119,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Failure Semantics.
#120,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#120,Conformance Register,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
#121,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#121,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#122,CORE-05c,SOURCE-OF,,Pass #4 cluster target: Operational Non-Authority.
#122,CORE-05b,SOURCE-OF,,Pass #4 cluster target: Operational Non-Authority.
#123,CORE-05b,SOURCE-OF,,Pass #4 cluster target: Technology and Infrastructure Independence.
#123,CORE-07,SOURCE-OF,,Pass #4 cluster target: Technology and Infrastructure Independence.
#124,CORE-04,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#124,DEF-01,MERGED-INTO,,Pass #4 cluster target: Single Canonical Truth.
#125,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#126,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#127,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#128,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#129,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#130,Governance Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#130,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#131,CORE-05c,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#131,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Operational Non-Authority.
#132,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#132,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#133,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#133,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#134,Governance Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#134,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Historical Traceability.
#135,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#135,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#136,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#136,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#137,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#138,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#139,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#140,BOUND-01,SOURCE-OF,,Pass #4 cluster target: Minimality and Semantic Restraint.
#141,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#142,CORE-06,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#142,Governance Register,SOURCE-OF,,Pass #4 cluster target: Change Control and Permanence.
#143,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#144,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#145,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#146,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#146,CORE-07,MERGED-INTO,,Pass #4 cluster target: Technology and Infrastructure Independence.
#147,Preservation Register,SOURCE-OF,,Pass #4 cluster target: Preservation and Archival Survival.
#148,Preservation Register,MERGED-INTO,,Pass #4 cluster target: Preservation and Archival Survival.
#149,Terminology Register,SOURCE-OF,,Pass #4 cluster target: Terminology Discipline.
#150,CORE-01,MERGED-INTO,,Pass #4 cluster target: Core World-Space Membership.
#151,CORE-01,SOURCE-OF,,Pass #4 cluster target: Core World-Space Membership.
#152,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#152,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#153,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#153,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#154,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#154,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#155,IF-01,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#155,Governance Register,SOURCE-OF,,Pass #4 cluster target: Institutional Authority and Adoption.
#156,IF-01,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#156,Governance Register,MERGED-INTO,,Pass #4 cluster target: Institutional Authority and Adoption.
#157,CORE-03,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#157,LIM-01,SOURCE-OF,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#158,CORE-03,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#158,LIM-01,MERGED-INTO,,Pass #4 cluster target: Exact Membership and Boundary Resolution.
#159,DOWN-01,SOURCE-OF,,Item-level override.
#160,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#160,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#160,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#160,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#161,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#161,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#161,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#161,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#162,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#162,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#162,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#162,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#163,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#164,CORE-02,MERGED-INTO,,Pass #4 cluster target: Survey-to-World Relationship.
#165,Shared Architecture: DA1,SOURCE-OF,,Item-level override.
#165,Shared Architecture: Failed Dependency Rule,SOURCE-OF,,Item-level override.
#166,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#166,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#166,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#166,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#167,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#167,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#167,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#167,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#168,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#168,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#168,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#168,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#169,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#169,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#169,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#169,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#170,CORE-02,MERGED-INTO,,Pass #4 cluster target: Canonical Placement.
#171,DOWN-01,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#171,DOWN-02,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#171,DOWN-03,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#171,DOWN-04,MERGED-INTO,,Pass #4 cluster target: Survey Dependency / Downward Contract.
#172,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#172,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#172,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#173,UP-03,SOURCE-OF,,Item-level override.
#174,UP-01,SOURCE-OF,,Item-level override.
#174,CONST-02,SOURCE-OF,,Item-level override.
#174,CONST-03,SOURCE-OF,,Item-level override.
#174,CONST-04,SOURCE-OF,,Item-level override.
#175,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#175,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#175,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#176,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#176,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#176,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#177,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#177,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#178,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#178,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Interpretation Independence.
#179,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#179,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#180,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#180,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#181,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#181,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Parcel Independence.
#182,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#182,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#182,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#183,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#183,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#183,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#184,UP-01,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#184,UP-02,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#184,UP-03,MERGED-INTO,,Pass #4 cluster target: Upward Handoff.
#185,BOUND-01,MERGED-INTO,,Pass #4 cluster target: Minimality and Semantic Restraint.
#186,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#186,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#187,CORE-05a,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#187,CORE-05b,MERGED-INTO,,Pass #4 cluster target: Runtime Independence.
#188,CORE-06,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#188,Governance Register,MERGED-INTO,,Pass #4 cluster target: Change Control and Permanence.
#189,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#190,CORE-07,MERGED-INTO,,Pass #4 cluster target: Representation Independence.
#191,DEF-04,SOURCE-OF,,Pass #4 cluster target: Conformance and Validation.
