finding_id,finding_title,original_classification,original_disposition,original_cluster,original_confidence,final_disposition,primary_target,consolidation_parent,pass_resolution,is_survivor,is_mirror,notes
#15,World Membership Is Exact,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Exact Membership and Boundary Resolution,HIGH,Requirement-level,CORE-03a,,P4-D2,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#16,Boundary Membership Must Be Unambiguous,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,MEDIUM,Merged,CORE-03,#15,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#17,"The Boundary Is Consequential, Not Independent",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Exact Membership and Boundary Resolution,MEDIUM,Merged,CORE-03,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#18,No Materialized Inventory Is Required,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Representation Independence,MEDIUM,Specification,CORE-07,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#19,Materialization May Be Derived,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Operational Non-Authority,MEDIUM,Requirement-level,CORE-05c,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#20,Spatial Ground Introduces No New Spatial Semantics,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,HIGH,Layer boundary,BOUND-01,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#21,One World Means One World-Space,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,One World / Singular World-Space,MEDIUM,Expressed constitutional constraint,CONST-02,,P4-D3,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#22,World-Space Must Remain Connected,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Connectedness and Topology,MEDIUM,Expressed constitutional constraint,CONST-04,,P4-D3,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#23,Higher Architecture Cannot Alter World Extent,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,HIGH,Requirement-level,CORE-05a,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#24,"Spatial Ground Owns Membership, Not Geometry Mathematics",FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,HIGH,Merged,DOWN-01,#12,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#25,Exact Geometry May Be Used Without Becoming Interpretation,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Layer Boundaries,MEDIUM,Layer boundary,BOUND-01,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#26,Canonical World-Space Must Be Independently Reproducible,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Independent Implementation,MEDIUM,Requirement-level,CORE-03c,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#27,Hidden State Is Prohibited,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,No Hidden State / Self-Containment,HIGH,Requirement-level,CORE-05b,,P4-D2,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#28,Canonical Ground Must Be Finitely Expressible,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Finite Expressibility and Determinism,MEDIUM,Definition-level,DEF-03,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#29,Representation May Change; Place Must Not,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Representation Independence,HIGH,Requirement-level,CORE-06,,P4-D2,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#30,Spatial Ground Terminates Before Interpretation,LAYER BOUNDARY / EXCLUSION,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,HIGH,Layer boundary,BOUND-01,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#31,Spatial Ground Must Have One Authoritative World-Space Definition,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Single Canonical Truth,MEDIUM,Merged,CORE-04,#8,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#32,World-Space Must Be Independent of Observation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#33,World-Space Must Be Independent of Occupancy,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#34,World-Space Must Be Independent of Parcels,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,HIGH,Merged,CORE-05a,#6,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#35,Parcel Coverage Is Not a Spatial Ground Requirement,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,MEDIUM,Merged,CORE-05a,#6,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#36,Spatial Ground Must Not Encode Parcel Identity,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Parcel Independence,HIGH,Merged,CORE-05a,#6,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#37,Spatial Ground Must Not Encode Regions,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#38,Spatial Ground Must Not Encode Terrain,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#39,Spatial Ground Must Not Encode Civilization,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#40,Spatial Ground Must Not Encode Rights,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,HIGH,Merged,CORE-05a,#20,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#41,Spatial Ground Must Not Encode Runtime Availability,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Runtime Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#42,Spatial Ground Must Survive Experience Replacement,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,HIGH,Merged,CORE-05b,#81,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#43,Spatial Ground Must Survive Infrastructure Replacement,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,HIGH,Merged,CORE-05b,#81,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#44,Spatial Ground Must Be Recoverable Without Historical Runtime State,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Reconstruction and Recoverability,HIGH,Preservation,DEF-02,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#45,"World Membership Is Spatial, Not Historical",DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,MEDIUM,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#46,Spatial Ground Must Preserve Coordinate Correspondence,FSF DEPENDENCY / DOWNWARD CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Canonical Placement,MEDIUM,Downward contract,DOWN-02,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#47,Spatial Ground Must Not Introduce Alternate Coordinates,FSF DEPENDENCY / DOWNWARD CONTRACT,MERGE INTO STRONGER FINDING OR CLUSTER,Survey Dependency / Downward Contract,HIGH,Merged,DOWN-01,#12,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#48,Derived World-Space Views Must Be Reversible to Canonical Reference,SPECIFICATION CANDIDATE,MOVE TO SPECIFICATION,Representation Independence,MEDIUM,Specification,CORE-07,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#49,Lossy Representation Must Never Become Canonical Ground Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#50,Boundary Rendering Is Not Boundary Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#49,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#51,Spatial Ground Must Distinguish Canonical Boundary From Interpreted Edge,LAYER BOUNDARY / EXCLUSION,MERGE INTO STRONGER FINDING OR CLUSTER,Layer Boundaries,MEDIUM,Merged,BOUND-01,#25,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#52,World-Space Membership Must Be Queryable Without Higher Interpretation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Higher-Layer Independence,MEDIUM,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#53,Higher Interpretation Must Be Removable,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#54,Spatial Ground Must Be Sufficiently Complete for Higher Interpretation,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,RETAIN AS INDEPENDENT CANDIDATE,Upward Handoff,HIGH,Requirement-level,CORE-03a,,P4-D15,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#55,Spatial Ground Defines Eligibility for Higher Spatial Meaning,UPWARD HANDOFF / HIGHER-LAYER CONTRACT,REQUIRES ARCHITECTURAL REVIEW,Upward Handoff,LOW,Upward contract,UP-02,,P2-D5,FALSE,FALSE,Item-level target override from Architectural Resolution Passes. Higher-layer eligibility rule rejected; only legitimate upward-boundary residue retained.
#56,Non-World-Space Must Not Acquire World Status Through Interpretation,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Upward Handoff,HIGH,Merged,UP-01,#23,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#57,Derived Relationships May Be Computed From Ground Truth,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,MEDIUM,Merged,BOUND-01,#58,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#58,Spatial Ground Should Minimize Stored Truth,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Minimality and Semantic Restraint,MEDIUM,Layer boundary,BOUND-01,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#59,Redundant Canonical Truth Should Be Avoided,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Minimality and Semantic Restraint,MEDIUM,Merged,BOUND-01,#58,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#60,Canonical Ground Must Detect Contradiction,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,HIGH,Conformance,CORE-03b,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#61,Canonical Ground Must Reject Ambiguity,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,MEDIUM,Conformance,CORE-03b,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#62,Canonical Ground Must Reject Silent Approximation,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,MEDIUM,Conformance,DEF-04,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#63,Derived Approximation Must Be Explicit,IMPLEMENTATION / OPERATIONAL CANDIDATE,MOVE TO IMPLEMENTATION / OPERATIONS,Operational Non-Authority,MEDIUM,Implementation,CORE-05c,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#64,Spatial Ground Must Be Deterministically Validatable,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,MEDIUM,Conformance,DEF-04,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#65,Spatial Ground Must Admit Canonical Equivalence Testing,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Canonical Equivalence,MEDIUM,Conformance,DEF-05,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#66,Spatial Ground Must Have Defined Failure Conditions,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Failure Semantics,HIGH,Conformance,CORE-03b,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#67,Spatial Ground Must Support Independent Implementation,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Independent Implementation,MEDIUM,Merged,CORE-03c,#26,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#68,Spatial Ground Must Be Open to Inspection,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,No Hidden State / Self-Containment,MEDIUM,Merged,CORE-05b,#27,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#69,Spatial Ground Must Preserve Long-Term Human Comprehensibility,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,MEDIUM,Preservation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#70,Spatial Ground Must Preserve Machine Determinism,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Finite Expressibility and Determinism,HIGH,Merged,DEF-03,#15,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#71,Spatial Ground Evolution Must Preserve Place,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,MEDIUM,Merged,CORE-06,#29,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#72,World-Space Must Never Be Reassigned,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,MEDIUM,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#73,Spatial Ground Must Preserve Referential Permanence,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Change Control and Permanence,MEDIUM,Merged,CORE-06,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#74,Spatial Ground Must Not Depend on Naming,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#75,Spatial Ground Must Not Depend on Classification,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Interpretation Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#76,Spatial Ground Must Not Depend on Administrative Organization,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Rights / Governance Independence,HIGH,Merged,CORE-05a,#4,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#77,Spatial Ground Must Preserve One Meaning Across Representations,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Representation Independence,HIGH,Merged,CORE-07,#31,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#78,Spatial Ground Must Permit Derived Indexing,DUPLICATE / NEAR-DUPLICATE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#79,Internal Partitions Carry No Foundational Meaning,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,HIGH,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#80,Computational Convenience Must Not Shape The World,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Technology and Infrastructure Independence,MEDIUM,Merged,CORE-05b,#81,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#81,Spatial Ground Must Be Technology-Agnostic,PRIMITIVE REQUIREMENT CANDIDATE,RETAIN AS INDEPENDENT CANDIDATE,Technology and Infrastructure Independence,HIGH,Requirement-level,CORE-05b,,P4-D1,FALSE,FALSE,Item-level target override from Architectural Resolution Passes.
#82,Verification Technology Is Not Spatial Authority,DERIVED CONSEQUENCE,MERGE INTO STRONGER FINDING OR CLUSTER,Operational Non-Authority,MEDIUM,Merged,CORE-05c,#19,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view. Consolidation parent carried from the first explicit Finding reference in the frozen classification rationale/related set; related references are not exhaustive.
#83,Spatial Ground Must Be Archivable,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Preservation and Archival Survival,HIGH,Preservation,Preservation Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#84,Spatial Ground Must Be Restorable,PRESERVATION / RECONSTRUCTION CANDIDATE,MOVE TO PRESERVATION / RECONSTRUCTION,Reconstruction and Recoverability,HIGH,Preservation,DEF-02,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#85,Spatial Ground Must Be Testable Adversarially,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Testing and Adversarial Review,HIGH,Conformance,Conformance Register,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
#86,Spatial Ground Must Have a Mandatory Conformance Core,CONFORMANCE / VALIDATION CANDIDATE,MOVE TO CONFORMANCE / VALIDATION,Conformance and Validation,HIGH,Conformance,DEF-04,,P4-D15,FALSE,FALSE,Primary target from Pass #4 cluster-level consolidation view.
